id,target
0,5
1,6
2,5
3,2
4,6
5,8
6,8
7,2
8,2
9,3
10,7
11,2
12,8
13,3
14,8
15,6
16,6
17,6
18,5
19,4
20,7
21,8
22,7
23,5
24,5
25,4
26,2
27,7
28,7
29,3
30,7
31,2
32,6
33,6
34,5
35,2
36,5
37,6
38,2
39,4
40,5
41,2
42,5
43,4
44,2
45,6
46,3
47,5
48,2
49,5
50,6
51,2
52,6
53,6
54,2
55,2
56,6
57,4
58,4
59,5
60,2
61,6
62,4
63,5
64,5
65,2
66,5
67,6
68,6
69,6
70,2
71,6
72,6
73,4
74,2
75,2
76,6
77,7
78,6
79,4
80,2
81,2
82,6
83,7
84,7
85,3
86,7
87,5
88,2
89,3
90,6
91,5
92,8
93,7
94,2
95,5
96,3
97,2
98,2
99,8
100,5
101,2
102,2
103,2
104,6
105,6
106,4
107,6
108,2
109,2
110,7
111,2
112,2
113,2
114,3
115,6
116,7
117,2
118,5
119,3
120,7
121,2
122,2
123,8
124,4
125,7
126,3
127,2
128,2
129,3
130,2
131,6
132,3
133,5
134,7
135,6
136,4
137,7
138,6
139,5
140,2
141,2
142,6
143,2
144,6
145,6
146,7
147,6
148,6
149,6
150,4
151,6
152,4
153,7
154,3
155,2
156,5
157,6
158,4
159,6
160,5
161,4
162,4
163,6
164,6
165,5
166,6
167,2
168,5
169,6
170,6
171,6
172,2
173,5
174,8
175,2
176,4
177,2
178,2
179,2
180,6
181,2
182,4
183,4
184,6
185,5
186,3
187,6
188,4
189,6
190,7
191,3
192,5
193,6
194,4
195,2
196,3
197,2
198,2
199,4
200,7
201,5
202,2
203,8
204,6
205,6
206,3
207,7
208,3
209,6
210,8
211,8
212,6
213,2
214,5
215,8
216,6
217,2
218,7
219,8
220,4
221,6
222,2
223,7
224,2
225,5
226,3
227,7
228,6
229,6
230,4
231,4
232,2
233,6
234,2
235,7
236,4
237,2
238,7
239,6
240,7
241,2
242,6
243,2
244,5
245,7
246,2
247,4
248,4
249,6
250,4
251,7
252,7
253,6
254,6
255,4
256,3
257,6
258,6
259,6
260,2
261,7
262,2
263,2
264,2
265,6
266,5
267,3
268,2
269,2
270,3
271,6
272,5
273,3
274,7
275,6
276,4
277,4
278,5
279,2
280,6
281,7
282,6
283,5
284,6
285,5
286,2
287,2
288,3
289,7
290,2
291,1
292,6
293,2
294,4
295,2
296,6
297,3
298,6
299,3
300,4
301,2
302,6
303,3
304,8
305,6
306,6
307,4
308,6
309,4
310,3
311,6
312,7
313,2
314,5
315,2
316,4
317,2
318,7
319,6
320,2
321,6
322,6
323,5
324,4
325,4
326,2
327,6
328,6
329,2
330,6
331,4
332,6
333,2
334,6
335,4
336,6
337,6
338,5
339,6
340,2
341,7
342,6
343,7
344,6
345,3
346,5
347,2
348,7
349,6
350,8
351,2
352,8
353,2
354,7
355,7
356,8
357,4
358,6
359,6
360,3
361,6
362,4
363,2
364,6
365,5
366,2
367,6
368,4
369,6
370,6
371,4
372,2
373,3
374,5
